mode,seed,working_set_kib,request_period_ns,reads,writes,avg_read_latency_ns,avg_write_latency_ns,metadata_hit_rate_pct,aead_queue_ns_per_op,metadata_queue_ns_per_read,late_check_rate_pct,late_check_window_ns,ratchets,read_overhead_pct
baseline,1,256,20.0,19814,5185,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,256,100.0,3950,1049,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,4096,20.0,19814,5185,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,4096,100.0,3950,1049,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,19814,5185,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,100.0,3950,1049,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,256,20.0,19877,5122,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,256,100.0,3987,1012,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,4096,20.0,19877,5122,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,4096,100.0,3987,1012,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,19877,5122,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,100.0,3987,1012,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,256,20.0,19915,5084,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,256,100.0,3993,1006,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,4096,20.0,19915,5084,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,4096,100.0,3993,1006,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,19915,5084,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,100.0,3993,1006,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,256,20.0,19778,5221,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,256,100.0,3924,1075,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,4096,20.0,19778,5221,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,4096,100.0,3924,1075,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,19778,5221,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,100.0,3924,1075,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,256,20.0,19863,5136,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,256,100.0,4019,980,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,4096,20.0,19863,5136,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,4096,100.0,4019,980,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,19863,5136,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,100.0,4019,980,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
optimistic,1,256,20.0,19814,5185,229.20712627435148,231.01542912246867,95.10447158574745,0.1641665666626665,0.0,0.0,0.0,1,11.808354280171454
optimistic,1,256,100.0,3950,1049,229.21316455696203,231.0,60.68354430379747,0.16843368673734746,0.0,0.0,0.0,0,11.811299783883916
optimistic,1,4096,20.0,19814,5185,229.20712627435148,231.01542912246867,11.860300797415968,0.1641665666626665,0.0,0.0,0.0,1,11.808354280171454
optimistic,1,4096,100.0,3950,1049,229.21316455696203,231.0,23.31645569620253,0.16843368673734746,0.0,0.0,0.0,0,11.811299783883916
optimistic,1,65536,20.0,19814,5185,229.20712627435148,231.01542912246867,6.015948319370143,0.1641665666626665,0.0,0.0,0.0,1,11.808354280171454
optimistic,1,65536,100.0,3950,1049,229.21316455696203,231.0,20.151898734177216,0.16843368673734746,0.0,0.0,0.0,0,11.811299783883916
optimistic,2,256,20.0,19877,5122,229.20314936861698,231.01561889886764,95.11998792574332,0.16152646105844234,0.0,0.0,0.0,1,11.806414326154623
