mode,seed,working_set_kib,request_period_ns,traffic_pattern,reads,writes,avg_read_latency_ns,avg_write_latency_ns,metadata_hit_rate_pct,aead_queue_ns_per_op,metadata_queue_ns_per_read,late_check_rate_pct,late_check_window_ns,ratchets,read_overhead_pct
baseline,1,65536,20.0,uniform,19814,5185,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,linear,19716,5283,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,stride4k,19716,5283,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,1,65536,20.0,hotcold,19786,5194,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,uniform,19877,5122,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,linear,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,stride4k,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,2,65536,20.0,hotcold,19741,5239,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,uniform,19915,5084,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,linear,19809,5190,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,stride4k,19809,5190,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,3,65536,20.0,hotcold,19699,5281,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,uniform,19778,5221,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,linear,19806,5193,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,stride4k,19806,5193,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,4,65536,20.0,hotcold,19808,5172,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,uniform,19863,5136,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,linear,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,stride4k,19834,5165,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
baseline,5,65536,20.0,hotcold,20120,4860,205.0,206.0,0.0,0.0,0.0,0.0,0.0,0,0.0
optimistic,1,65536,20.0,uniform,19814,5185,229.20712627435148,231.01542912246867,6.015948319370143,0.1641665666626665,0.0,0.0,0.0,1,11.808354280171454
optimistic,1,65536,20.0,linear,19716,5283,229.21272063298844,231.015332197615,1.881720430107527,0.16776671066842672,0.0,0.0,0.0,1,11.811083235604114
optimistic,1,65536,20.0,stride4k,19716,5283,229.21272063298844,231.015332197615,0.0,0.16776671066842672,0.0,0.0,0.0,1,11.811083235604114
optimistic,1,65536,20.0,hotcold,19786,5194,229.20686343879512,231.01540238737005,87.17274840796523,0.16385108086469177,0.0,0.0,0.0,1,11.80822606770494
optimistic,2,65536,20.0,uniform,19877,5122,229.20314936861698,231.01561889886764,6.00694269759018,0.16152646105844234,0.0,0.0,0.0,1,11.806414326154623
optimistic,2,65536,20.0,linear,19834,5165,229.20802662095392,231.015876089061,1.8806090551578099,0.16504660186407458,0.0,0.0,0.0,1,11.808793473636056
optimistic,2,65536,20.0,stride4k,19834,5165,229.20802662095392,231.015876089061,0.0,0.16504660186407458,0.0,0.0,0.0,1,11.808793473636056
optimistic,2,65536,20.0,hotcold,19741,5239,229.2047008763487,231.01565184195456,87.28534522060686,0.16176941553242594,0.0,0.0,0.0,1,11.807171159194493
optimistic,3,65536,20.0,uniform,19915,5084,229.20271152397692,231.01612903225805,6.020587496861662,0.16148645945837833,0.0,0.0,0.0,1,11.806200743403373
optimistic,3,65536,20.0,linear,19809,5190,229.20687566257763,231.01541425818883,1.933464586803978,0.16392655706228249,0.0,0.0,0.0,1,11.808232030525675
optimistic,3,65536,20.0,stride4k,19809,5190,229.20687566257763,231.01541425818883,0.0,0.16392655706228249,0.0,0.0,0.0,1,11.808232030525675
optimistic,3,65536,20.0,hotcold,19699,5281,229.2076247525255,231.01514864608976,87.0348748667445,0.16373098478783027,0.0,0.0,0.0,1,11.808597440256342
optimistic,4,65536,20.0,uniform,19778,5221,229.2064415006573,231.0153227351082,6.1836383860855495,0.16332653306132247,0.0,0.0,0.0,1,11.80802024422307
optimistic,4,65536,20.0,linear,19806,5193,229.20640210037362,231.01559792027732,1.9489043724124002,0.16352654106164247,0.0,0.0,0.0,1,11.8080010245725
optimistic,4,65536,20.0,stride4k,19806,5193,229.20640210037362,231.01559792027732,0.0,0.16352654106164247,0.0,0.0,0.0,1,11.8080010245725
optimistic,4,65536,20.0,hotcold,19808,5172,229.20380654281098,231.01566125290023,87.9190226171244,0.16160928742994396,0.0,0.0,0.0,1,11.806734898932186
optimistic,5,65536,20.0,uniform,19863,5136,229.2066656597694,231.01557632398755,5.9054523485878265,0.1642065682627305,0.0,0.0,0.0,1,11.808129590131422
optimistic,5,65536,20.0,linear,19834,5165,229.20505193102753,231.01548886737658,1.8604416658263587,0.1626865074602984,0.0,0.0,0.0,1,11.807342405379282
