profile,seed,request_period_ns,reservation_ns,commit_ns,issue_ns,writes,issued_writes,completion_fraction_pct,completed_writes_per_us,avg_write_latency_ns,write_control_queue_ns_per_write,reservation_ns_per_write,commit_ns_per_write,write_overhead_vs_insecure_pct,control_increment_vs_anchor_pct
insecure,1,20.0,0.0,0.0,2.0,5185,5185,100.0,10.37,206.0,0.0,0.0,0.0,0.0,0.0
insecure,1,100.0,0.0,0.0,2.0,1049,1049,100.0,2.098,206.0,0.0,0.0,0.0,0.0,0.0
insecure,2,20.0,0.0,0.0,2.0,5122,5122,100.0,10.244,206.0,0.0,0.0,0.0,0.0,0.0
insecure,2,100.0,0.0,0.0,2.0,1012,1012,100.0,2.024,206.0,0.0,0.0,0.0,0.0,0.0
insecure,3,20.0,0.0,0.0,2.0,5084,5084,100.0,10.168,206.0,0.0,0.0,0.0,0.0,0.0
insecure,3,100.0,0.0,0.0,2.0,1006,1006,100.0,2.012,206.0,0.0,0.0,0.0,0.0,0.0
insecure,4,20.0,0.0,0.0,2.0,5221,5221,100.0,10.442,206.0,0.0,0.0,0.0,0.0,0.0
insecure,4,100.0,0.0,0.0,2.0,1075,1075,100.0,2.15,206.0,0.0,0.0,0.0,0.0,0.0
insecure,5,20.0,0.0,0.0,2.0,5136,5136,100.0,10.272,206.0,0.0,0.0,0.0,0.0,0.0
insecure,5,100.0,0.0,0.0,2.0,980,980,100.0,1.96,206.0,0.0,0.0,0.0,0.0,0.0
anchor_aead,1,20.0,0.0,0.0,2.0,5185,5185,100.0,10.37,291.1286403085825,0.0,0.0,0.0,41.32458267406916,0.0
anchor_aead,1,100.0,0.0,0.0,2.0,1049,1049,100.0,2.098,231.0,0.0,0.0,0.0,12.135922330097088,0.0
anchor_aead,2,20.0,0.0,0.0,2.0,5122,5122,100.0,10.244,291.79285435376806,0.0,0.0,0.0,41.64701667658644,0.0
anchor_aead,2,100.0,0.0,0.0,2.0,1012,1012,100.0,2.024,231.0,0.0,0.0,0.0,12.135922330097088,0.0
anchor_aead,3,20.0,0.0,0.0,2.0,5084,5084,100.0,10.168,291.8676239181747,0.0,0.0,0.0,41.68331258163819,0.0
anchor_aead,3,100.0,0.0,0.0,2.0,1006,1006,100.0,2.012,231.0,0.0,0.0,0.0,12.135922330097088,0.0
anchor_aead,4,20.0,0.0,0.0,2.0,5221,5221,100.0,10.442,291.1174104577667,0.0,0.0,0.0,41.319131290178014,0.0
anchor_aead,4,100.0,0.0,0.0,2.0,1075,1075,100.0,2.15,231.0,0.0,0.0,0.0,12.135922330097088,0.0
anchor_aead,5,20.0,0.0,0.0,2.0,5136,5136,100.0,10.272,291.6057242990654,0.0,0.0,0.0,41.556176844206504,0.0
anchor_aead,5,100.0,0.0,0.0,2.0,980,980,100.0,1.96,231.0,0.0,0.0,0.0,12.135922330097088,0.0
ebfi_low,1,20.0,5.0,10.0,2.0,5185,5185,100.0,10.37,300.1668273866924,0.0304725168756027,5.026615236258438,10.003857280617165,45.71205212946232,3.104533813138361
ebfi_low,1,100.0,5.0,10.0,2.0,1049,1049,100.0,2.098,245.0,0.0,5.0,10.0,18.932038834951456,6.0606060606060606
ebfi_low,2,20.0,5.0,10.0,2.0,5122,5122,100.0,10.244,300.81764935572045,0.03006638032018743,5.027333073018353,10.002733307301835,46.02798512413614,3.0928773159779888
ebfi_low,2,100.0,5.0,10.0,2.0,1012,1012,100.0,2.024,245.0,0.0,5.0,10.0,18.932038834951456,6.0606060606060606
ebfi_low,3,20.0,5.0,10.0,2.0,5084,5084,100.0,10.168,300.8872934697089,0.02714398111723053,5.024783634933124,10.002360346184107,46.06179294646062,3.0903289068001865
ebfi_low,3,100.0,5.0,10.0,2.0,1006,1006,100.0,2.012,245.0,0.0,5.0,10.0,18.932038834951456,6.0606060606060606
ebfi_low,4,20.0,5.0,10.0,2.0,5221,5221,100.0,10.442,300.1662516759242,0.035242290748898675,5.033710017238077,10.001532273510822,45.71177265821562,3.10831331040237
ebfi_low,4,100.0,5.0,10.0,2.0,1075,1075,100.0,2.15,245.0,0.0,5.0,10.0,18.932038834951456,6.0606060606060606
ebfi_low,5,20.0,5.0,10.0,2.0,5136,5136,100.0,10.272,300.6320093457944,0.025311526479750778,5.023753894080997,10.001557632398754,45.937868614463305,3.095373065266656
ebfi_low,5,100.0,5.0,10.0,2.0,980,980,100.0,1.96,245.0,0.0,5.0,10.0,18.932038834951456,6.0606060606060606
ebfi_nominal,1,20.0,10.0,20.0,2.0,5185,5185,100.0,10.37,310.2349083895853,0.03413693346190935,10.030279652844746,20.003857280617165,50.5994700920317,6.562826680587353
ebfi_nominal,1,100.0,10.0,20.0,2.0,1049,1049,100.0,2.098,260.0,0.0,10.0,20.0,26.21359223300971,12.554112554112555
ebfi_nominal,2,20.0,10.0,20.0,2.0,5122,5122,100.0,10.244,310.8748535728231,0.031433033971105036,10.028504490433425,20.00292854353768,50.910123093603445,6.5395704296172115
ebfi_nominal,2,100.0,10.0,20.0,2.0,1012,1012,100.0,2.024,260.0,0.0,10.0,20.0,26.21359223300971,12.554112554112555
ebfi_nominal,3,20.0,10.0,20.0,2.0,5084,5084,100.0,10.168,310.93784421715185,0.029504327301337528,10.02714398111723,20.00236034618411,50.940701076287304,6.533859440443976
ebfi_nominal,3,100.0,10.0,20.0,2.0,1006,1006,100.0,2.012,260.0,0.0,10.0,20.0,26.21359223300971,12.554112554112555
ebfi_nominal,4,20.0,10.0,20.0,2.0,5221,5221,100.0,10.442,310.2553150737407,0.03888144033710017,10.037349166826278,20.00153227351082,50.60937624938869,6.573947118408562
ebfi_nominal,4,100.0,10.0,20.0,2.0,1075,1075,100.0,2.15,260.0,0.0,10.0,20.0,26.21359223300971,12.554112554112555
ebfi_nominal,5,20.0,10.0,20.0,2.0,5136,5136,100.0,10.272,310.69022585669785,0.028621495327102803,10.02706386292835,20.001557632398754,50.82049798868828,6.544625145307415
ebfi_nominal,5,100.0,10.0,20.0,2.0,980,980,100.0,1.96,260.0,0.0,10.0,20.0,26.21359223300971,12.554112554112555
ebfi_high,1,20.0,20.0,40.0,2.0,5185,5185,100.0,10.37,330.4499517839923,0.02815814850530376,20.024300867888137,40.00385728061717,60.41259795339431,13.506507444176941
ebfi_high,1,100.0,20.0,40.0,2.0,1049,1049,100.0,2.098,290.0,0.0,20.0,40.0,40.77669902912621,25.541125541125542
ebfi_high,2,20.0,20.0,40.0,2.0,5122,5122,100.0,10.244,331.04529480671613,0.02889496290511519,20.02616165560328,40.00273330730184,60.70159942073598,13.45215959447678
ebfi_high,2,100.0,20.0,40.0,2.0,1012,1012,100.0,2.024,290.0,0.0,20.0,40.0,40.77669902912621,25.541125541125542
ebfi_high,3,20.0,20.0,40.0,2.0,5084,5084,100.0,10.168,331.1030684500393,0.025177025963808025,20.0228166797797,40.002360346184105,60.729644878659855,13.442890309363097
ebfi_high,3,100.0,20.0,40.0,2.0,1006,1006,100.0,2.012,290.0,0.0,20.0,40.0,40.77669902912621,25.541125541125542
ebfi_high,4,20.0,20.0,40.0,2.0,5221,5221,100.0,10.442,330.50641639532654,0.033326948860371575,20.03179467534955,40.00153227351082,60.44000795889638,13.53028177724675
ebfi_high,4,100.0,20.0,40.0,2.0,1075,1075,100.0,2.15,290.0,0.0,20.0,40.0,40.77669902912621,25.541125541125542
ebfi_high,5,20.0,20.0,40.0,2.0,5136,5136,100.0,10.272,330.89330218068534,0.024143302180685357,20.022585669781932,40.00155763239876,60.627816592565694,13.47284178870485
ebfi_high,5,100.0,20.0,40.0,2.0,980,980,100.0,1.96,290.0,0.0,20.0,40.0,40.77669902912621,25.541125541125542
ebfi_slow200_pipe,1,20.0,200.0,200.0,2.0,5185,5185,100.0,10.37,630.5311475409836,0.0,200.0,200.0,206.0830813305746,116.58162758313667
ebfi_slow200_pipe,1,100.0,200.0,200.0,2.0,1049,1049,100.0,2.098,630.3622497616778,0.0,200.0,200.0,206.00109211731933,172.88409080592112
ebfi_slow200_pipe,2,20.0,200.0,200.0,2.0,5122,5122,100.0,10.244,630.5142522452168,0.0,200.0,200.0,206.07487973068777,116.08282822470517
ebfi_slow200_pipe,2,100.0,200.0,200.0,2.0,1012,1012,100.0,2.024,630.308300395257,0.0,200.0,200.0,205.97490310449368,172.86073610184283
ebfi_slow200_pipe,3,20.0,200.0,200.0,2.0,5084,5084,100.0,10.168,630.5481904012589,0.0,200.0,200.0,206.0913545637179,116.03910085554183
ebfi_slow200_pipe,3,100.0,200.0,200.0,2.0,1006,1006,100.0,2.012,630.3518886679921,0.0,200.0,200.0,205.9960624601903,172.87960548397922
ebfi_slow200_pipe,4,20.0,200.0,200.0,2.0,5221,5221,100.0,10.442,630.512353955181,0.0,200.0,200.0,206.07395823067037,116.58352654474828
ebfi_slow200_pipe,4,100.0,200.0,200.0,2.0,1075,1075,100.0,2.15,630.3404651162791,0.0,200.0,200.0,205.9905170467374,172.87466022349744
ebfi_slow200_pipe,5,20.0,200.0,200.0,2.0,5136,5136,100.0,10.272,630.5484813084112,0.0,200.0,200.0,206.0914957807821,116.23323164319382
ebfi_slow200_pipe,5,100.0,200.0,200.0,2.0,980,980,100.0,1.96,630.3183673469388,0.0,200.0,200.0,205.97978997424212,172.8650940895839
ebfi_slow1000_pipe,1,20.0,1000.0,1000.0,2.0,4612,4612,100.0,9.224,2232.6899392888117,0.11188204683434519,1000.1053772766696,1000.0065047701648,983.8300676159281,666.908380062596
